Општина,Школа,Мин. бодова,Укупно места,Преостало места
Панчево,"Техничка школа ""23. мај"", Панчево",43.2,90,26
Параћин,"Гимназија, Параћин",66.08,60,21
Параћин,"Економско-трговинска школа, Параћин",52.16,90,14
Параћин,"Машинско-електротехничка школа, Параћин",41.66,120,67
Параћин,"Технолошка школа, Параћин",42.43,90,31
Петровац на Млави,"Средња школа ""Младост"", Петровац На Млави",45.41,120,66
Пећ,"Економско-трговинска школа ""Милева Вуковић"", Гораждевац",75.44,60,56
Пећинци,"Техничка школа ""Миленко Веркић Неша"", Пећинци",46.04,120,67
Пирот,"Економска школа Пирот, Пирот",50.29,120,27
Пирот,"Млекарска школа са домом ученика ""Др Обрен Пејић"", Пирот",44.13,90,53
Пирот,"Средња стручна школа, Пирот",41.69,45,10
Пожаревац,"Економско-трговинска школа, Пожаревац",40.81,45,23
Пожаревац,"Политехничка школа, Пожаревац",39.52,15,7
Пожаревац,"Пољопривредна школа са домом ученика ""Соња Маринковић"", Пожаревац",39.3,120,67
Пожега,"Пољопривредна школа са домом ученика ""Љубо Мићић"", Пожега",40.38,105,75
Пожега,"Техничка школа , Пожега",48.6,15,2
Прешево,"Гимназија ""Скендербеу"", Прешево",50.01,30,23
Прешево,"Средња техничка школа ""Прешево"", Прешево",44.15,60,44
Прибој,"Гимназија Прибој, Прибој",62.66,80,40
Прибој,"Машинско-електротехничка школа, Прибој",39.01,60,12
Пријепоље,"Економско-трговинска школа, Пријепоље",40.99,15,6
Пријепоље,"Пријепољска гимназија, Пријепоље",50.62,60,16
Пријепоље,"Техничка школа , Пријепоље",28.73,105,52
Приштина,"Гимназија Приштина , Лапље село",68.06,20,5
Приштина,"Грађевинско-саобраћајна школа, Грачаница",41.7,60,34
Приштина,"Економско-трговинска школа из Приштине у Лапљем Селу, Лапље село",52.77,40,5
Приштина,"Електротехничка школа ""Михајло Пупин"", Сушица",57.32,40,28
Приштина,"Машинска школа ""Приштина"", Преоце",43.31,40,28
Прокупље,"Гимназија, Прокупље",50.22,150,66
Прокупље,"Пољопривредна школа ""Радош Јовановић Сеља"", Прокупље",36.39,120,64
Прокупље,"Техничка школа ""15. мај"", Прокупље",42.18,45,6
Раковица,"Машинска школа ""Радоје Дакић"", Београд (Раковица)",43.01,120,56
Рача,"Средња школа ""Ђура Јакшић"", Рача",40.02,60,42
Рашка,"Гимназија, Рашка",55.28,90,25
Рашка,"Средња школа ""Краљица Јелена"" , Рашка",43.54,90,35
Рековац,"Пољопривредно-ветеринарска школа, Рековац",40.48,120,70
Рума,"Гимназија ""Стеван Пузић"", Рума",51.87,120,33
Рума,"Средња стручна школа ""Бранко Радичевић"", Рума",47.19,75,35
Рума,"Средња стручна школа ""Стеван Петровић-Бриле"", Рума",49.38,90,45
Рума,"Средња техничка школа ""Миленко Брзак - Уча"", Рума",39.91,90,32
Савски венац,"Школа за бродарство, бродоградњу и хидроградњу, Београд (Савски Венац)",38.33,120,91
Савски венац,"Школа за оштећене слухом-наглуве ""Стефан Дечански"", Београд (Савски Венац)",,6,6
Свилајнац,"Пољопривредно-ветеринарска школа са домом ученика Свилајнац, Свилајнац",41.33,90,36
Свилајнац,"Средња школа ""Свилајнац"", Свилајнац",43.54,60,30
Сврљиг,"Стручна школа ""Душан Тривунац Драгош"", Сврљиг",38.44,90,51
Сента,"Економско-трговинска школа Сента, Сента",59.69,90,50
Сента,"Сенћанска гимназија, Сента",54.12,90,41
Сента,"Средња медицинска школа, Сента",51.07,30,4
Сечањ,"Средња школа ""Вук Караџић"", Сечањ",44.99,90,36
Сјеница,"Гимназија ""Јездимир Ловић"", Сјеница",50.08,120,31
Сјеница,"Техничко - пољопривредна школа са домом ученика, Сјеница",30.47,75,41
Смедерево,"Гимназија, Смедерево",60.17,90,6
Смедерево,"Економско-трговинска школа, Смедерево",38.53,75,24
Смедерево,"Текстилно-технолошка и пољопривредна школа ""Деспот Ђурађ"", Смедерево",43.31,120,83
Смедерево,"Техничка школа , Смедерево",37.04,75,25
Смедеревска Паланка,"Паланачка гимназија, Смедеревска Паланка",51.65,60,15
Смедеревска Паланка,"Средња школа ""Жикица Дамњановић"", Смедеревска Паланка",39.95,45,29
Сокобања,"Средња школа ""Бранислав Нушић"", Сокобања",38.38,75,32
Сомбор,"Гимназија ""Вељко Петровић"", Сомбор",61.23,110,43
Сомбор,"Средња економска школа, Сомбор",43.28,60,18
Сомбор,"Средња медицинска школа ""Др Ружица Рип"", Сомбор",60.9,30,22
Сомбор,"Средња пољопривредно-прехрамбена школа, Сомбор",41.5,120,59
Сомбор,"Средња техничка школа, Сомбор",45.36,150,83
Сомбор,"Средња школа ""Свети Сава"", Сомбор",35.4,150,47
Сопот,"Економско-трговинска школа, Сопот",41.87,60,6
Сопот,"Машинска школа ""Космај"", Сопот",40.01,60,20
Србица,"Техничка школа , Суво Грло",59.81,20,18
Србобран,"Гимназија и стручна школа ""Светозар Милетић"" , Србобран",57.13,90,54
Сремска Митровица,"Економска школа ""9. Мај"", Сремска Митровица",56.63,30,8
Сремска Митровица,"Митровачка гимназија, Сремска Митровица",50.78,120,35
Сремска Митровица,"Прехрамбено-шумарска и хемијска школа, Сремска Митровица",44.39,150,92
